,Kp,Ti,Td,Overshoot,RiseTime,SettlingTime
47,0.5,0.015,0.005,0,0.06777860391488497,0.10787303674868548
23,0.2,0.01,0,0,0.0979584834776492,0.17152866228498356
27,1,0.1,0,0,0.30512527148764523,0.6161657818240198
38,0.5,0.1,0.05,0,0.5554643630882585,0.9888780313555456
26,0.5,0.1,0,0,0.5484528220265319,1.0178712943379544
28,1,1,0,0,3.202599495014627,6.411098108549476
65,0.16,1,0.001,0,15.582078581642572,27.244228766113665
61,1,0.001,0.2,0.5725095271861491,0.00022094530947199407,0.0003743092186864894
18,1,0.00192,0.101,0.7502010405591175,0.0004007088464003464,0.0006624938697030641
59,1,0.002,0.1,0.9532624799187817,0.0004010249767541711,0.0006558473182318012
25,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
31,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
40,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
15,1,0.00192,0.12,1.160485101003239,0.0003407593231043473,0.0005534617481308143
16,1,0.00192,0.109,1.4145226481156348,0.0003665924894419373,0.0005880443462014613
13,1,0.00192,0.2,2.4233099814475967,0.00020681420523701417,0.002041615273443673
24,0.5,0.01,0.01,2.8151472711790193,0.0474424409541492,0.10716282592630282
68,0.5,0.01,0.015,3.5401015553446546,0.05056179068675739,0.11883887840824425
37,0.5,0.01,0.05,6.801752509817449,0.06783733105777255,0.16810399432786474
36,0.5,0.009,0.05,7.69021922083255,0.06285103343094492,0.15835153053432427
64,1,0.001,0.17,8.147672530648897,0.0005185654655358085,0.3142845768357472
74,0.5,0.005,1,8.784601772361466,0.00011283126544346756,1.2653607067804307
63,1,0.001,0.15,8.802704253897264,0.012055090783054622,0.2967691596725223
6,4,0.001,0.026,9.706299225208914,0.00355100650516307,0.10489107121904495
5,4,0.001,0.024,10.334180848487096,0.003732125746705365,0.10163656458750052
53,0.5,0.005,0.5,10.384154134922152,0.00026146481350073063,0.7507971390813591
73,0.5,0.005,0.5,10.384154134922152,0.00026146481350073063,0.7507971390813591
62,1,0.001,0.11,10.691769196555857,0.013118660119327032,0.25819331708317683
12,1,0.00192,0.1,10.832483986688324,0.021537212107386534,0.252004930103782
17,1,0.00192,0.1,10.832483986688324,0.021537212107386534,0.252004930103782
60,1,0.001,0.1,11.356826153011879,0.013038076900751547,0.24762764925271122
52,0.5,0.005,0.3,11.35761405548581,0.08714562665272872,0.4740023319705681
72,0.5,0.005,0.3,11.35761405548581,0.08714562665272872,0.4740023319705681
4,4,0.001,0.02,11.92155516625526,0.003937366734191358,0.09455467576846362
51,0.5,0.005,0.1,12.510038775747079,0.05447927517880932,0.21942126641325774
71,0.5,0.005,0.1,12.510038775747079,0.05447927517880932,0.21942126641325774
70,0.5,0.005,0.09,12.555104204379596,0.05217165976280082,0.21018642002111354
45,0.5,0.005,0.05,12.676837436723254,0.04161311891199431,0.1680552936738695
50,0.5,0.005,0.03,12.702981992703455,0.03515806820535225,0.14190487779064168
49,0.5,0.005,0.02,12.732558234535784,0.0314332612908952,0.12634087973014155
69,0.5,0.005,0.02,12.732558234535784,0.0314332612908952,0.12634087973014155
48,0.5,0.005,0.015,12.768999384192448,0.029370290451000956,0.11744358947688413
44,0.5,0.005,0.01,12.839979763739318,0.027069517994422587,0.10710179930801857
46,0.5,0.005,0.01,12.839979763739318,0.027069517994422587,0.10710179930801857
43,0.5,0.005,0.005,12.980409721447494,0.02410766412226617,0.07230921021919827
42,0.5,0.005,0.001,13.192855260050695,0.02010968666359161,0.0675886054552266
32,0.5,0.005,0,13.26297679124735,0.01900639777085941,0.06634949840977544
41,0.5,0.005,0,13.26297679124735,0.01900639777085941,0.06634949840977544
67,0.5,0.001,0.17,13.507326226379934,0.022072232932597736,0.32675347770863283
66,0.5,0.001,0.16,13.94532948992242,0.021633162250883752,0.3180264528740537
22,0.2,0.001,0.5,14.221019128195156,0.046642499278605025,0.48556237755950793
55,1,0.005,0.01,14.962993863086593,0.018647087990172537,0.08823881236176734
34,0.5,0.004,0.01,16.87224196327337,0.023132439777255483,0.10253059792721579
35,0.5,0.003,0.05,16.88223248588656,0.029459511674027574,0.17223776370140098
54,1,0.005,0,19.76248047687561,0.011175002130313152,0.06469979230440809
3,4,0.001,0.01,20.475458148002822,0.00372749349629469,0.08334964306028354
21,0.2,0.001,0.1,24.37124574008831,0.024873769523311544,0.19036634922939918
33,0.5,0.003,0.001,26.07996806690629,0.013781807523648536,0.07861577076020779
14,1,0.00192,0.012,28.733007395453882,0.010902621245835523,0.10064637833914228
58,1,0.002,0.01,29.979705241455832,0.010691332171970967,0.09843919766191998
11,1,0.00192,0.01,30.701838241335942,0.010443897904853722,0.1120165460146423
20,0.2,0.001,0.01,38.58691396861455,0.014811011518202428,0.13082512460172083
19,0.2,0.001,0,42.574415180794034,0.011245985694781434,0.12275248112478197
75,24.1,0.00193,0.000482,42.68593384605319,0.0012296606976557073,0.015318727757642498
10,1,0.00192,0.001,47.440302734239495,0.007078548226921481,0.09248536262145052
57,1,0.002,0,49.162179665921066,0.006447490761360103,0.09072075413228248
9,1,0.00192,0.000482,49.1644621026516,0.006691441988405135,0.09116782537033177
7,10,0.00192,0.000482,52.204772541632494,0.0019774401810799228,0.029564989728626923
8,5,0.00193,0.000482,55.587429320383855,0.002846989448413401,0.04888582099818294
30,0.5,0.001,0,62.81374044602519,0.006645389057499761,0.14585807390743574
39,0.5,0.001,0,62.81374044602519,0.006645389057499761,0.14585807390743574
2,4,0.001,0.001,74.61324278993082,0.002705671350424743,0.30204087135485397
56,1,0.001,0,76.8492964678658,0.004555342992010016,0.21369518074463253
0,[],[],[],[],[],[]
1,4,0.0005,0,,,
29,1,0.0001,0,,,
